Disease,Symptoms,Precautions,Drugs
Cirrhosis,Fatigue - Weakness - Abdominal swelling - Jaundice,Alcohol moderation - Dietary changes - Medications - Liver transplant,Ursodeoxycholic acid - Spironolactone
Hydrocephalus,Headache - Nausea - Vision problems - Cognitive impairment,Shunt placement - Endoscopic third ventriculostomy (ETV) - Medications for symptoms,Acetazolamide - Mannitol
Retinal Detachment,Floaters - Flashes of light - Vision loss - Curtain-like shadow,Immediate medical attention - Surgical repair - Positioning - Avoiding eye trauma,Cryopexy - Scleral buckle
Essential Thrombocythemia,Excessive bleeding - Blood clotting - Enlarged spleen - Headache - Dizziness,Aspirin - Hydroxyurea - Anagrelide
Wegener's Granulomatosis,Sinusitis - Shortness of breath - Cough - Fatigue - Kidney problems,Immunosuppressive therapy - Steroids - Rituximab - Plasmapheresis,Cyclophosphamide - Methotrexate
Inflammatory Bowel Disease (IBD),Abdominal pain - Diarrhea - Weight loss - Fatigue - Blood in stool,Immunosuppressive therapy - Anti-inflammatory medications - Nutritional support,Infliximab - Mesalamine
Bradykinesia,Slowness of movement - Difficulty initiating movements,Medications - Physical therapy - Occupational therapy - Speech therapy,Levodopa - Pramipexole
Sturge-Weber Syndrome,Port-wine stain on face - Glaucoma - Seizures - Neurological symptoms,Treatment of symptoms - Laser therapy - Anticonvulsant medications,Clobazam - Topiramate
Hyponatremia,Confusion - Headache - Nausea - Seizures,Gradual correction of sodium levels - Fluid restriction - Medications for underlying cause,Demeclocycline - Tolvaptan
Vitamin B12 Deficiency,Fatigue - Weakness - Anemia - Cognitive difficulties,Vitamin B12 supplementation - Dietary changes - Identifying underlying cause,Cyanocobalamin - Methylcobalamin
Hemolytic Anemia,Fatigue - Shortness of breath - Pale skin - Jaundice,Identifying and treating underlying cause - Blood transfusions - Medications,Folic acid - Corticosteroids
Sleep Apnea,Loud snoring - Intermittent cessation of breathing - Daytime sleepiness,Continuous positive airway pressure (CPAP) - Lifestyle changes - Weight loss - Oral appliances,CPAP machine - Modafinil
Ehlers-Danlos Syndrome,Joint hypermobility - Skin that bruises easily - Chronic pain - Joint dislocations,Physical therapy - Pain management - Lifestyle modifications - Bracing,NSAIDs - Physical therapy
Sickle Cell Anemia,Fatigue - Painful crises - Anemia - Jaundice,Hydration - Pain management - Blood transfusions - Hydroxyurea,Hydroxyurea - Blood transfusions
Thyroid Eye Disease,Protruding eyes - Double vision - Eye pain - Swelling of eyelids,Smoking cessation - Steroids - Orbital decompression - Eye protection,Prednisone - Rituximab
Cystic Fibrosis,Chronic cough - Thick mucus - Respiratory infections - Difficulty breathing,Airway clearance techniques - Medications - Pulmonary rehabilitation - Lung transplant,Ivacaftor - Dornase alfa
Osteomyelitis,Bone pain - Fever - Swelling - Redness - Limited range of motion,IV antibiotics - Surgical drainage - Rest - Immobilization,Ceftriaxone - Vancomycin
Whipple's Disease,Abdominal pain - Diarrhea - Weight loss - Joint pain,Long-term antibiotic therapy - Nutritional support,Ceftriaxone - Trimethoprim-sulfamethoxazole
Agoraphobia,Fear of open spaces or crowded places - Avoidance of triggering situations,Exposure therapy - Cognitive-behavioral therapy (CBT) - Medications,Selective serotonin reuptake inhibitors (SSRIs) - Benzodiazepines
Ovarian Cancer,Abdominal bloating - Pelvic pain - Changes in bowel habits - Fatigue,Surgery - Chemotherapy - Targeted therapy - Radiation therapy,Carboplatin - Paclitaxel
Sjögren's Syndrome,Dry eyes - Dry mouth - Joint pain - Fatigue - Swollen salivary glands,Artificial tears - Saliva substitutes - Medications - Dental care,Hydroxychloroquine - Cyclosporine
Celiac Disease,Abdominal pain - Diarrhea - Bloating - Fatigue - Joint pain,Gluten-free diet - Avoid cross-contamination - Nutrient supplementation,Adalimumab - Infliximab
Eczema,Itchy skin - Red or brown patches - Dry, cracked skin - Swelling - Blisters,Moisturize regularly - Avoid irritants - Topical steroids - Antihistamines,Hydrocortisone - Desonide
Chronic Kidney Disease,Fatigue - Swelling - Shortness of breath - Confusion - Decreased urine output,Low-protein diet - Medications - Dialysis - Fluid control,Angiotensin-converting enzyme (ACE) inhibitors - Diuretics
Pancreatitis,Abdominal pain - Nausea - Vomiting - Fever - Rapid pulse,Fasting - Pain management - Nutritional support - Avoid alcohol and fatty foods,Morphine - Omeprazole
Dyslexia,Difficulty reading - Spelling challenges - Slow reading - Poor handwriting - Difficulty with phonics,Educational interventions - Reading programs - Speech therapy,No specific drugs for treatment
Autism Spectrum Disorder (ASD),Social challenges - Repetitive behaviors - Communication difficulties - Sensory sensitivities,Early intervention - Applied Behavior Analysis (ABA) - Speech therapy - Occupational therapy,No specific drugs for core symptoms
Chronic Lymphocytic Leukemia (CLL),Fatigue - Enlarged lymph nodes - Night sweats - Weight loss,Watchful waiting - Chemotherapy - Targeted therapy - Immunotherapy,Fludarabine - Ibrutinib
Cerebral Palsy,Muscle stiffness - Weakness - Poor coordination - Speech difficulties - Seizures,Physical therapy - Occupational therapy - Speech therapy - Assistive devices,Baclofen - Diazepam
Hypoparathyroidism,Tingling in extremities - Muscle cramps - Fatigue - Dry skin - Abdominal pain,Calcium supplements - Vitamin D supplements - Magnesium supplements,Calcitriol - Alfacalcidol
Brucellosis,Fever - Sweating - Fatigue - Joint pain - Headache,Avoid unpasteurized dairy products - Antibiotics - Animal vaccination,Doxycycline - Rifampin
Strep Throat,Sore throat - Fever - Headache - Swollen tonsils - Difficulty swallowing,Antibiotics - Rest - Hydration - Throat lozenges,Penicillin - Amoxicillin
Carpal Tunnel Syndrome,Numbness or tingling in fingers - Hand weakness - Pain radiating up the arm,Rest - Wrist splints - Corticosteroid injections - Surgery,NSAIDs - Gabapentin
Addison's Disease,Chronic fatigue - Weight loss - Muscle weakness - Low blood pressure - Darkening of skin,Adequate salt intake - Hormone replacement therapy,Hydrocortisone - Fludrocortisone
Diabetic Neuropathy,Numbness or tingling in extremities - Loss of sensation - Burning pain - Muscle weakness,Blood sugar control - Medications - Foot care - Physical therapy,Gabapentin - Pregabalin
Hemorrhagic Stroke,Sudden severe headache - Weakness or numbness on one side - Confusion - Difficulty speaking,Immediate medical attention - Rehabilitation - Medications for prevention,Aspirin - Clopidogrel
Bulging Disc,Back or neck pain - Numbness or tingling - Weakness - Radiating pain,Rest - Physical therapy - Medications - Heat or ice therapy,NSAIDs - Muscle relaxants
Dissociative Identity Disorder (DID),Memory gaps - Identity shifts - Distinct personalities - Mood swings,Psychotherapy - Supportive care - Medications for co-occurring conditions,Selective serotonin reuptake inhibitors (SSRIs) - Antipsychotics
Chronic Pancreatitis,Abdominal pain - Nausea - Vomiting - Weight loss - Steatorrhea (fatty stools),Low-fat diet - Pancreatic enzyme supplements - Abstinence from alcohol - Pain management,Omeprazole - Pancrelipase
Pulmonary Edema,Shortness of breath - Cough - Rapid breathing - Pink or frothy sputum,Immediate medical attention - Oxygen therapy - Diuretics - Positioning,Furosemide - Nitroglycerin
Stevens-Johnson Syndrome,Skin rash - Blistering - Fever - Joint pain - Lesions on mucous membranes,Hospitalization - Supportive care - Medications - Avoidance of triggering drugs,Corticosteroids - Intravenous immunoglobulin
Granulomatosis with Polyangiitis (GPA),Sinusitis - Shortness of breath - Cough - Fatigue - Joint pain,Immunosuppressive therapy - Steroids - Rituximab - Plasmapheresis,Cyclophosphamide - Methotrexate
Toxoplasmosis,Fever - Muscle aches - Headache - Swollen lymph nodes - Fatigue,Cook meat thoroughly - Wash fruits and vegetables - Avoid contact with cat feces,Pyrithiamine - Sulfadiazine
Huntington's Disease,Chorea (involuntary movements) - Cognitive decline - Behavioral changes - Difficulty swallowing - Weight loss,Symptomatic treatment - Supportive care - Genetic counseling,No specific drugs for disease modification
Brugada Syndrome,Irregular heartbeat - Fainting - Sudden cardiac arrest,Implantable cardioverter-defibrillator (ICD) - Avoidance of triggers - Medications,Quinidine - Isoproterenol
Hypoplastic Left Heart Syndrome (HLHS),Cyanosis (bluish skin) - Rapid breathing - Poor feeding - Cold extremities,Surgery - Medications - Oxygen therapy,Prostaglandin E1 - Diuretics
Neuroblastoma,Abdominal mass - Weight loss - Fatigue - Bone pain,Chemotherapy - Surgery - Radiation therapy - Immunotherapy,Cyclophosphamide - Doxorubicin
Maple Syrup Urine Disease (MSUD),Sweet-smelling urine - Poor feeding - Vomiting - Neurological symptoms,Dietary restrictions - Amino acid supplements - Monitoring,Biotin - Thiamine
Lewy Body Dementia,Mental decline - Visual hallucinations - Parkinsonism symptoms - Fluctuating alertness,Symptomatic treatment - Supportive care - Medications for cognitive symptoms,Donepezil - Rivastigmine
Achilles Tendonitis,Heel pain - Swelling - Stiffness - Tenderness,Rest - Ice therapy - Stretching exercises - Orthotic shoes,NSAIDs - Physical therapy
Dupuytren's Contracture,Thickening of the palm - Formation of lumps or cords - Finger contracture,Hand exercises - Stretching - Injections - Surgery,Collagenase injections - Needle aponeurotomy
Bursitis,Joint pain - Swelling - Stiffness - Redness - Limited range of motion,Rest - Ice therapy - Compression - Elevation,NSAIDs - Corticosteroid injections
Rotator Cuff Tear,Shoulder pain - Weakness - Limited range of motion,Rest - Ice therapy - Physical therapy - Shoulder exercises,NSAIDs - Corticosteroid injections
Labyrinthitis,Dizziness - Vertigo - Nausea - Hearing loss - Tinnitus,Rest - Medications for nausea - Vestibular rehabilitation - Avoid sudden movements,Meclizine - Dimenhydrinate
Esophageal Varices,Swollen veins in the esophagus - Difficulty swallowing - Vomiting blood - Black, tarry stools,Alcohol cessation - Medications - Endoscopic procedures - Liver transplant,Beta blockers - Octreotide
Gastroparesis,Nausea - Vomiting - Abdominal pain - Feeling full quickly - Weight loss,Dietary changes - Medications - Feeding tube - Surgery,Metoclopramide - Erythromycin
Myocarditis,Chest pain - Fatigue - Shortness of breath - Rapid or irregular heartbeats,Rest - Medications - Supportive care - Heart failure management,NSAIDs - Beta blockers
Granulomatosis with Polyangiitis (GPA),Sinusitis - Shortness of breath - Cough - Fatigue - Joint pain,Immunosuppressive therapy - Steroids - Rituximab - Plasmapheresis,Cyclophosphamide - Methotrexate
Toxoplasmosis,Fever - Muscle aches - Headache - Swollen lymph nodes - Fatigue,Cook meat thoroughly - Wash fruits and vegetables - Avoid contact with cat feces,Pyrithiamine - Sulfadiazine
Huntington's Disease,Chorea (involuntary movements) - Cognitive decline - Behavioral changes - Difficulty swallowing - Weight loss,Symptomatic treatment - Supportive care - Genetic counseling,No specific drugs for disease modification
Brugada Syndrome,Irregular heartbeat - Fainting - Sudden cardiac arrest,Implantable cardioverter-defibrillator (ICD) - Avoidance of triggers - Medications,Quinidine - Isoproterenol
Hypoplastic Left Heart Syndrome (HLHS),Cyanosis (bluish skin) - Rapid breathing - Poor feeding - Cold extremities,Surgery - Medications - Oxygen therapy,Prostaglandin E1 - Diuretics
Neuroblastoma,Abdominal mass - Weight loss - Fatigue - Bone pain,Chemotherapy - Surgery - Radiation therapy - Immunotherapy,Cyclophosphamide - Doxorubicin
Maple Syrup Urine Disease (MSUD),Sweet-smelling urine - Poor feeding - Vomiting - Neurological symptoms,Dietary restrictions - Amino acid supplements - Monitoring,Biotin - Thiamine
Lewy Body Dementia,Mental decline - Visual hallucinations - Parkinsonism symptoms - Fluctuating alertness,Symptomatic treatment - Supportive care - Medications for cognitive symptoms,Donepezil - Rivastigmine
Achilles Tendonitis,Heel pain - Swelling - Stiffness - Tenderness,Rest - Ice therapy - Stretching exercises - Orthotic shoes,NSAIDs - Physical therapy
Dupuytren's Contracture,Thickening of the palm - Formation of lumps or cords - Finger contracture,Hand exercises - Stretching - Injections - Surgery,Collagenase injections - Needle aponeurotomy
Bursitis,Joint pain - Swelling - Stiffness - Redness - Limited range of motion,Rest - Ice therapy - Compression - Elevation,NSAIDs - Corticosteroid injections
Rotator Cuff Tear,Shoulder pain - Weakness - Limited range of motion,Rest - Ice therapy - Physical therapy - Shoulder exercises,NSAIDs - Corticosteroid injections
Labyrinthitis,Dizziness - Vertigo - Nausea - Hearing loss - Tinnitus,Rest - Medications for nausea - Vestibular rehabilitation - Avoid sudden movements,Meclizine - Dimenhydrinate
Shin Splints,Pain along the inner edge of the shinbone - Tenderness - Swelling,Rest - Ice therapy - Stretching - Proper footwear,NSAIDs - Compression sleeves
Esophageal Varices,Swollen veins in the esophagus - Difficulty swallowing - Vomiting blood - Black, tarry stools,Alcohol cessation - Medications - Endoscopic procedures - Liver transplant,Beta blockers - Octreotide
Gastroparesis,Nausea - Vomiting - Abdominal pain - Feeling full quickly - Weight loss,Dietary changes - Medications - Feeding tube - Surgery,Metoclopramide - Erythromycin
Myocarditis,Chest pain - Fatigue - Shortness of breath - Rapid or irregular heartbeats,Rest - Medications - Supportive care - Heart failure management,NSAIDs - Beta blockers
Granulomatosis with Polyangiitis (GPA),Sinusitis - Shortness of breath - Cough - Fatigue - Joint pain,Immunosuppressive therapy - Steroids - Rituximab - Plasmapheresis,Cyclophosphamide - Methotrexate
Toxoplasmosis,Fever - Muscle aches - Headache - Swollen lymph nodes - Fatigue,Cook meat thoroughly - Wash fruits and vegetables - Avoid contact with cat feces,Pyrithiamine - Sulfadiazine
Huntington's Disease,Chorea (involuntary movements) - Cognitive decline - Behavioral changes - Difficulty swallowing - Weight loss,Symptomatic treatment - Supportive care - Genetic counseling,No specific drugs for disease modification
Brugada Syndrome,Irregular heartbeat - Fainting - Sudden cardiac arrest,Implantable cardioverter-defibrillator (ICD) - Avoidance of triggers - Medications,Quinidine - Isoproterenol
Hypoplastic Left Heart Syndrome (HLHS),Cyanosis (bluish skin) - Rapid breathing - Poor feeding - Cold extremities,Surgery - Medications - Oxygen therapy,Prostaglandin E1 - Diuretics
Neuroblastoma,Abdominal mass - Weight loss - Fatigue - Bone pain,Chemotherapy - Surgery - Radiation therapy - Immunotherapy,Cyclophosphamide - Doxorubicin
Maple Syrup Urine Disease (MSUD),Sweet-smelling urine - Poor feeding - Vomiting - Neurological symptoms,Dietary restrictions - Amino acid supplements - Monitoring,Biotin - Thiamine
Lewy Body Dementia,Mental decline - Visual hallucinations - Parkinsonism symptoms - Fluctuating alertness,Symptomatic treatment - Supportive care - Medications for cognitive symptoms,Donepezil - Rivastigmine
Achilles Tendonitis,Heel pain - Swelling - Stiffness - Tenderness,Rest - Ice therapy - Stretching exercises - Orthotic shoes,NSAIDs - Physical therapy
Dupuytren's Contracture,Thickening of the palm - Formation of lumps or cords - Finger contracture,Hand exercises - Stretching - Injections - Surgery,Collagenase injections - Needle aponeurotomy
Bursitis,Joint pain - Swelling - Stiffness - Redness - Limited range of motion,Rest - Ice therapy - Compression - Elevation,NSAIDs - Corticosteroid injections
Rotator Cuff Tear,Shoulder pain - Weakness - Limited range of motion,Rest - Ice therapy - Physical therapy - Shoulder exercises,NSAIDs - Corticosteroid injections
Labyrinthitis,Dizziness - Vertigo - Nausea - Hearing loss - Tinnitus,Rest - Medications for nausea - Vestibular rehabilitation - Avoid sudden movements,Meclizine - Dimenhydrinate
Shin Splints,Pain along the inner edge of the shinbone - Tenderness - Swelling,Rest - Ice therapy - Stretching - Proper footwear,NSAIDs - Compression sleeves
Fibromyalgia,Widespread pain - Fatigue - Sleep disturbances - Cognitive difficulties,Regular exercise - Stress management - Medications - Cognitive-behavioral therapy (CBT),Pregabalin - Duloxetine
Amyotrophic Lateral Sclerosis (ALS),Muscle weakness - Difficulty speaking - Difficulty swallowing - Twitching,Supportive care - Physical therapy - Speech therapy - Assistive devices,Riluzole - Edaravone
Glaucoma,Gradual loss of peripheral vision - Eye pain - Blurred vision - Halos around lights,Eye exams - Medications - Laser therapy - Surgical procedures,Timolol - Latanoprost
Chronic Obstructive Pulmonary Disease (COPD),Shortness of breath - Chronic cough - Wheezing - Chest tightness,Smoking cessation - Medications - Pulmonary rehabilitation - Oxygen therapy,Albuterol - Tiotropium
Osteoporosis,Fractures - Loss of height - Back pain - Stooped posture,Calcium intake - Vitamin D intake - Weight-bearing exercises - Medications,Bisphosphonates - Raloxifene
Sleep Paralysis,Inability to move or speak while falling asleep or waking up,Consistent sleep schedule - Stress management - Treatment of underlying sleep disorders,No specific drugs for treatment
Interstitial Cystitis/Painful Bladder Syndrome (IC/PBS),Pelvic pain - Urgency/frequency of urination - Pain during sexual intercourse,Bladder training - Dietary changes - Medications - Physical therapy,Amitriptyline - Pentosan polysulfate sodium
Peripheral Artery Disease (PAD),Leg pain while walking (claudication) - Numbness or weakness - Coldness in lower leg or foot,Smoking cessation - Exercise therapy - Medications - Angioplasty/vascular surgery,Aspirin - Clopidogrel
Diverticulitis,Abdominal pain - Fever - Changes in bowel habits - Nausea,Low-fiber diet - Antibiotics - Rest - Avoiding certain foods,Ciprofloxacin - Metronidazole
Cystic Fibrosis,Chronic cough - Thick mucus - Respiratory infections - Difficulty breathing,Airway clearance techniques - Medications - Pulmonary rehabilitation - Lung transplant,Ivacaftor - Dornase alfa
Osteomyelitis,Bone pain - Fever - Swelling - Redness - Limited range of motion,IV antibiotics - Surgical drainage - Rest - Immobilization,Ceftriaxone - Vancomycin
Whipple's Disease,Abdominal pain - Diarrhea - Weight loss - Joint pain,Long-term antibiotic therapy - Nutritional support,Ceftriaxone - Trimethoprim-sulfamethoxazole
Agoraphobia,Fear of open spaces or crowded places - Avoidance of triggering situations,Exposure therapy - Cognitive-behavioral therapy (CBT) - Medications,Selective serotonin reuptake inhibitors (SSRIs) - Benzodiazepines
Ovarian Cancer,Abdominal bloating - Pelvic pain - Changes in bowel habits - Fatigue,Surgery - Chemotherapy - Targeted therapy - Radiation therapy,Carboplatin - Paclitaxel
Sjögren's Syndrome,Dry eyes - Dry mouth - Joint pain - Fatigue - Swollen salivary glands,Artificial tears - Saliva substitutes - Medications - Dental care,Hydroxychloroquine - Cyclosporine
Celiac Disease,Abdominal pain - Diarrhea - Bloating - Fatigue - Joint pain,Gluten-free diet - Avoid cross-contamination - Nutrient supplementation,Adalimumab - Infliximab
Eczema,Itchy skin - Red or brown patches - Dry, cracked skin - Swelling - Blisters,Moisturize regularly - Avoid irritants - Topical steroids - Antihistamines,Hydrocortisone - Desonide
Chronic Kidney Disease,Fatigue - Swelling - Shortness of breath - Confusion - Decreased urine output,Low-protein diet - Medications - Dialysis - Fluid control,Angiotensin-converting enzyme (ACE) inhibitors - Diuretics
Pancreatitis,Abdominal pain - Nausea - Vomiting - Fever - Rapid pulse,Fasting - Pain management - Nutritional support - Avoid alcohol and fatty foods,Morphine - Omeprazole
Dyslexia,Difficulty reading - Spelling challenges - Slow reading - Poor handwriting - Difficulty with phonics,Educational interventions - Reading programs - Speech therapy,No specific drugs for treatment
Autism Spectrum Disorder (ASD),Social challenges - Repetitive behaviors - Communication difficulties - Sensory sensitivities,Early intervention - Applied Behavior Analysis (ABA) - Speech therapy - Occupational therapy,No specific drugs for core symptoms
Chronic Lymphocytic Leukemia (CLL),Fatigue - Enlarged lymph nodes - Night sweats - Weight loss,Watchful waiting - Chemotherapy - Targeted therapy - Immunotherapy,Fludarabine - Ibrutinib
Cerebral Palsy,Muscle stiffness - Weakness - Poor coordination - Speech difficulties - Seizures,Physical therapy - Occupational therapy - Speech therapy - Assistive devices,Baclofen - Diazepam
Hypoparathyroidism,Tingling in extremities - Muscle cramps - Fatigue - Dry skin - Abdominal pain,Calcium supplements - Vitamin D supplements - Magnesium supplements,Calcitriol - Alfacalcidol
Brucellosis,Fever - Sweating - Fatigue - Joint pain - Headache,Avoid unpasteurized dairy products - Antibiotics - Animal vaccination,Doxycycline - Rifampin
Strep Throat,Sore throat - Fever - Headache - Swollen tonsils - Difficulty swallowing,Antibiotics - Rest - Hydration - Throat lozenges,Penicillin - Amoxicillin
Carpal Tunnel Syndrome,Numbness or tingling in fingers - Hand weakness - Pain radiating up the arm,Rest - Wrist splints - Corticosteroid injections - Surgery,NSAIDs - Gabapentin
Addison's Disease,Chronic fatigue - Weight loss - Muscle weakness - Low blood pressure - Darkening of skin,Adequate salt intake - Hormone replacement therapy,Hydrocortisone - Fludrocortisone
Diabetic Neuropathy,Numbness or tingling in extremities - Loss of sensation - Burning pain - Muscle weakness,Blood sugar control - Medications - Foot care - Physical therapy,Gabapentin - Pregabalin
Hemorrhagic Stroke,Sudden severe headache - Weakness or numbness on one side - Confusion - Difficulty speaking,Immediate medical attention - Rehabilitation - Medications for prevention,Aspirin - Clopidogrel
Breast Cancer,Lump in the breast - Changes in breast size or shape - Nipple discharge,Regular mammograms - Breast self-exams - Genetic counseling - Healthy lifestyle,Tamoxifen - Trastuzumab - Letrozole
Lung Cancer,Chronic cough - Chest pain - Shortness of breath - Unexplained weight loss,Smoking cessation - Avoiding secondhand smoke - Lung cancer screening - Healthy diet,Cisplatin - Erlotinib - Pembrolizumab
Colorectal Cancer,Changes in bowel habits - Blood in stool - Abdominal discomfort - Unexplained weight loss,Colonoscopy - High-fiber diet - Regular exercise - Genetic counseling,Capecitabine - Oxaliplatin - Bevacizumab
Prostate Cancer,Frequent urination - Blood in urine or semen - Erectile dysfunction,Prostate-specific antigen (PSA) test - Digital rectal exam - Healthy diet - Regular exercise,Leuprolide - Abiraterone - Enzalutamide
Ovarian Cancer,Abdominal bloating - Pelvic pain - Changes in bowel habits - Fatigue,Pelvic exams - Genetic counseling - Oral contraceptives,Carboplatin - Paclitaxel - Olaparib
Pancreatic Cancer,Abdominal pain - Jaundice - Unexplained weight loss - Changes in stool color,Whipple procedure - Chemotherapy - Radiation therapy,Gemcitabine - FOLFIRINOX - Erlotinib
Bladder Cancer,Blood in urine - Pelvic pain - Frequent urination - Back pain,Regular check-ups - Smoking cessation - Healthy diet - Hydration,Cisplatin - Gemcitabine - Immunotherapy
Skin Cancer,Changes in moles or skin lesions - Itching or tenderness - Changes in skin color,Regular skin checks - Sun protection - Avoiding tanning beds,Imiquimod - Fluorouracil - Ipilimumab
Leukemia,Fatigue - Frequent infections - Unexplained weight loss - Easy bruising or bleeding,Bone marrow biopsy - Genetic testing - Stem cell transplant,Imatinib - Rituximab - Chemotherapy
Brain Cancer,Headaches - Seizures - Changes in vision or hearing - Personality changes,Brain imaging - Surgery - Radiation therapy - Chemotherapy,Temozolomide - Bevacizumab - Carmustine
Thyroid Cancer,Neck lump - Difficulty swallowing - Hoarseness - Fatigue,Thyroid ultrasound - Thyroidectomy - Radioactive iodine therapy,Levothyroxine - Lenvatinib - Sorafenib
Liver Cancer,Abdominal pain - Jaundice - Unexplained weight loss - Swelling in the abdomen,Liver transplant - Chemoembolization - Targeted therapy,Sorafenib - Regorafenib - Atezolizumab
Esophageal Cancer,Difficulty swallowing - Chest pain - Unexplained weight loss - Persistent cough,Endoscopy - Surgery - Chemoradiotherapy,Cisplatin - 5-Fluorouracil - Paclitaxel
Kidney Cancer,Blood in urine - Abdominal pain - Unexplained weight loss - Fatigue,Kidney surgery - Targeted therapy - Immunotherapy,Sunitinib - Pazopanib - Nivolumab
Cervical Cancer,Abnormal vaginal bleeding - Pelvic pain - Pain during intercourse - Watery, bloody discharge,Pap smear - HPV vaccine - HPV testing - Pelvic exams,Cisplatin - Paclitaxel - Bevacizumab
Endometrial Cancer,Abnormal uterine bleeding - Pelvic pain - Pain during intercourse - Unexplained weight loss,Endometrial biopsy - Hysterectomy - Radiation therapy,Progesterone - Doxorubicin - Paclitaxel
Testicular Cancer,Lump or swelling in the testicle - Pain or discomfort - Back pain - Enlarged breasts,Testicular self-exams - Surgery - Chemotherapy,Cisplatin - Etoposide - Bleomycin
Gastric (Stomach) Cancer,Abdominal pain - Nausea - Unexplained weight loss - Difficulty swallowing,Upper endoscopy - Surgery - Chemotherapy,Cisplatin - Fluorouracil - Trastuzumab
Hodgkin Lymphoma,Enlarged lymph nodes - Unexplained weight loss - Night sweats - Itchy skin,Lymph node biopsy - Chemotherapy - Radiation therapy,ABVD regimen - Brentuximab vedotin
Non-Hodgkin Lymphoma,Swollen lymph nodes - Abdominal pain - Fever - Night sweats,Lymph node biopsy - Chemotherapy - Immunotherapy - Radiation therapy,R-CHOP regimen - Ibrutinib - Rituximab
Multiple Myeloma,Bone pain - Fatigue - Frequent infections - Unexplained weight loss,Bone marrow biopsy - Chemotherapy - Stem cell transplant,Lenalidomide - Bortezomib - Dexamethasone
Bone Cancer,Bone pain - Swelling - Limited range of motion - Fatigue,Bone biopsy - Surgery - Chemotherapy,Doxorubicin - Ifosfamide - Methotrexate
Soft Tissue Sarcoma,Lump or swelling - Pain or tenderness - Limited range of motion - Fatigue,Biopsy - Surgery - Chemotherapy - Radiation therapy,Ifosfamide - Doxorubicin - Pazopanib
Uterine Sarcoma,Abnormal vaginal bleeding - Pelvic pain - Pain during intercourse - Enlarged uterus,Endometrial biopsy - Surgery - Radiation therapy,Doxorubicin - Ifosfamide - Gemcitabine
Neuroendocrine Tumors,Abdominal pain - Diarrhea - Flushing - Wheezing,Somatostatin analogs - Targeted therapy - Peptide receptor radionuclide therapy (PRRT),Octreotide - Lanreotide - Everolimus
Thymoma,Thymus tumor - Chest pain - Cough - Difficulty breathing,Chest imaging - Surgery - Radiation therapy - Chemotherapy,Cisplatin - Etoposide - Prednisone
Germ Cell Tumors,Testicular or ovarian mass - Abdominal pain - Unexplained weight loss,Testicular self-exams - Surgery - Chemotherapy,BEP regimen - Etoposide - Cisplatin
Mesothelioma,Shortness of breath - Chest pain - Unexplained weight loss - Fatigue,Imaging tests - Surgery - Chemotherapy - Radiation therapy,Pemetrexed - Cisplatin - Gemcitabine
Nasopharyngeal Cancer,Nasal congestion - Hearing loss - Earaches - Neck mass,Nasopharyngoscopy - Radiation therapy - Chemotherapy,Cisplatin - Fluorouracil - Docetaxel
Oral Cancer,Mouth sores - Persistent mouth pain - Difficulty swallowing - Changes in voice,Dental check-ups - Surgery - Radiation therapy - Chemotherapy,Cisplatin - 5-Fluorouracil - Cetuximab
Penile Cancer,Changes in skin color or thickness - Penile discharge - Enlarged lymph nodes,Circumcision - Surgery - Chemotherapy,Cisplatin - Paclitaxel - Ifosfamide
Adrenal Gland Tumors,Abdominal pain - Weight gain or loss - High blood pressure - Sweating,Imaging tests - Surgery - Radiation therapy - Medications,Mitotane - Ketoconazole - Aminoglutethimide
Anal Cancer,Anal bleeding - Pain or discomfort - Changes in bowel habits - Enlarged lymph nodes,Anoscopy - Chemotherapy - Radiation therapy,5-Fluorouracil - Mitomycin C - Capecitabine
Cholangiocarcinoma,Jaundice - Abdominal pain - Unexplained weight loss - Itchy skin,ERCP - Surgery - Chemotherapy - Radiation therapy,Gemcitabine - Cisplatin - 5-Fluorouracil
Choriocarcinoma,Abnormal vaginal bleeding - Enlarged uterus - Pelvic pain - Unexplained weight loss,Pelvic ultrasound - Chemotherapy - Surgery,Methotrexate - Etoposide - Actinomycin D
Chordoma,Back or neck pain - Difficulty swallowing - Headaches - Double vision,Imaging tests - Surgery - Radiation therapy - Targeted therapy,Imatinib - Sunitinib - Brachytherapy
Cutaneous T-Cell Lymphoma,Itchy skin - Red rash - Enlarged lymph nodes - Fatigue,Skin biopsy - Topical treatments - Phototherapy - Chemotherapy,Bexarotene - Vorinostat - Brentuximab vedotin
Ductal Carcinoma In Situ (DCIS),Abnormal mammogram findings - Breast lump - Changes in breast size or shape,Regular mammograms - Genetic counseling - Hormone therapy,Tamoxifen - Anastrozole - Letrozole
Ependymoma,Headaches - Nausea - Vomiting - Difficulty walking,Imaging tests - Surgery - Radiation therapy - Chemotherapy,Methotrexate - Vincristine - Etoposide
Gastrointestinal Stromal Tumor (GIST),Abdominal pain - Blood in stool - Feeling full quickly - Unexplained weight loss,Endoscopy - Surgery - Targeted therapy - Chemotherapy,Imatinib - Sunitinib - Regorafenib
Malignant Fibrous Histiocytoma,Soft tissue mass - Pain or tenderness - Limited range of motion,Imaging tests - Surgery - Chemotherapy - Radiation therapy,Ifosfamide - Doxorubicin - Gemcitabine
